Container,Image,Name,Type,Chance,Rarity,Min Ammo,Max Ammo
Wooden crate,Pws74.png,PWS CQB 74 5.45x39 Muzzle brake,Flash hider/muzzle brake,0.02,Super Rare,,
Wooden crate,G3port.png,Decelerator 3 Port 9x19 Compensator,Flash hider/muzzle brake,0.02,Super Rare,,
Wooden crate,Lw9.png,Lone Wolf Compensator 9 9x19,Flash hider/muzzle brake,0.03,Super Rare,,
Wooden crate,NationalMatchMBIcon.png,National Match 7.62x51 muzzlebrake & compensator for M1A,Flash hider/muzzle brake,0.03,Super Rare,,
Wooden crate,Tpp icon.png,Texas Precision Products muzzlebrake for Mosin rifle,Flash hider/muzzle brake,0.05,Super Rare,,
Wooden crate,NT4 Icon.gif,KAC QDSS NT-4 Black 5.56x45 silencer,Suppressor,0.08,Super Rare,,
Wooden crate,NT4 Icon.gif,KAC QDSS NT-4 FDE 5.56x45 silencer,Suppressor,0.08,Super Rare,,
Wooden crate,Pbs-4icon.png,PBS-4 5.45x39 Silencer,Suppressor,0.08,Super Rare,,
Wooden crate,Mpx-sdicon.png,MPX-SD 9x19 Integrated silencer,Suppressor,0.01,Super Rare,,
Wooden crate,Hexagonak-47icon.png,Hexagon AK-74 5.45x39 sound suppressor,Suppressor,0.02,Super Rare,,
Wooden crate,Hexagon12kicon.png,Hexagon 12K sound suppressor,Suppressor,0.02,Super Rare,,
Wooden crate,Dtk-4micon.png,Zenit DTK-4M muzzle brake,Suppressor,0.01,Super Rare,,
Wooden crate,Sr1mpicon.png,SR1MP silencer 9x21,Suppressor,0.01,Super Rare,,
Wooden crate,Osprey9icon.png,SilencerCo Osprey 9 9x19mm sound suppressor,Suppressor,0.01,Super Rare,,
Wooden crate,762sdn-6icon.png,AAC 762 SDN-6 7.62x51 Sound Suppressor,Suppressor,0.02,Super Rare,,
Wooden crate,Fd917icon.png,Fischer Development FD917 suppressor,Suppressor,0.01,Super Rare,,
Wooden crate,Rotex2Icon.png,B&T Rotex 2 4.6x30 silencer,Suppressor,0.01,Super Rare,,
Wooden crate,SV98Sil.png,Regular SV-98 7.62x54 silencer,Suppressor,0.02,Super Rare,,
Wooden crate,Illusion Icon.png,AAC Illusion 9 9x19mm silencer,Suppressor,0.02,Super Rare,,
Wooden crate,Gk02.png,GK-02 Muzzle Brake,Muzzle adapter,0.15,Super Rare,,
Wooden crate,P226threadicon.png,P226 thread protection cap,Muzzle adapter,0.02,Super Rare,,
Wooden crate,12gamonster.png,Tromix Monster Claw 12ga muzzle brake,Flash hider/muzzle brake,0.03,Super Rare,,
Wooden crate,Wolfthreadicon.png,Thread protector for Alpha Wolf Glock barrels,Muzzle adapter,0.02,Super Rare,,
Wooden crate,Glockddthreadproticon.png,Glock thread protector produced by Double Diamond,Muzzle adapter,0.02,Super Rare,,
Wooden crate,Glockthread.png,Glock thread protector produced by Salient Arms,Muzzle adapter,0.02,Super Rare,,
Wooden crate,Akmpfronticon.png,AKMP system front sight device,Iron Sight,0.05,Super Rare,,
Wooden crate,Glocksefronticon.png,Dead Ringer Snake Eye Glock front sight,Iron Sight,0.05,Super Rare,,
Wooden crate,Tfxfronticon.png,Truglo TFX Glock front sight,Iron Sight,0.07,Super Rare,,
Wooden crate,Tfxrearicon.png,Truglo TFX Glock rear sight,Iron Sight,0.07,Super Rare,,
Wooden crate,MBUS Rear Icon.gif,Magpul MBUS Gen.2 Rearsight FDE,Iron Sight,0.05,Super Rare,,
Wooden crate,Pk-06icon.png,Belomo PK-06 reflex sight,Compact Reflex Sight,0.05,Super Rare,,
Wooden crate,Rmricon.png,Trijicon RMR,Compact Reflex Sight,0.02,Super Rare,,
Wooden crate,553icon.png,Eotech 553 holographic sight,Reflex Sight,0.05,Super Rare,,
Wooden crate,Xps3-0icon.png,Eotech XPS3-0 holographic sight,Reflex Sight,0.02,Super Rare,,
Wooden crate,Uh-1icon.png,Vortex Razor AMG UH-1 holographic sight,Reflex Sight,0.01,Super Rare,,
Wooden crate,Comp M4 Icon.png,Aimpoint COMP M4 reflex sight,Reflex Sight,0.02,Super Rare,,
Wooden crate,SpectreDR Icon.gif,ELCAN SpecterDR 1x/4x Scope,Assault Scope,0.05,Super Rare,,
Wooden crate,Bravo4icon.png,Sig BRAVO4 4X30 Scope,Assault Scope,0.02,Super Rare,,
Wooden crate,Trijicon ACOG TA01NSN 4x32 scope TAN icon.png,Trijicon ACOG TA01NSN 4x32 scope TAN,Assault Scope,0.03,Super Rare,,
Wooden crate,3-24x42icon.png,Optical scope March Tactical 3-24x42 FFP,Scope,0.02,Super Rare,,
Wooden crate,Nightforce ATACR 7-35x56Icon.png,Nightforce ATACR 7-35x56 riflescope,Scope,0.02,Super Rare,,
Wooden crate,1 6 vudu icon.png,EOtech Vudu 1-6 riflescope,Scope,0.02,Super Rare,,
Wooden crate,Thermalicon.png,Trijicon REAP-IR thermal riflescope,Special Scope,0.01,Super Rare,,
Wooden crate,BGV MK46 Icon.gif,Tango Down Stubby BGV-MK46K tactical grip,Foregrip,0.15,Super Rare,,
Wooden crate,BGV MK46 Icon.gif,Tango Down Stubby BGV-MK46K tactical grip FDE,Foregrip,0.07,Super Rare,,
Wooden crate,BGV MK46 Icon.gif,Tango Down Stubby BGV-MK46K tactical grip FG,Foregrip,0.07,Super Rare,,
Wooden crate,Vikinggripicon.png,Viking Tactical UVG Tactical grip,Foregrip,0.15,Super Rare,,
Wooden crate,Heraarmsgripicon.png,Hera Arms CQR tactical grip,Foregrip,0.02,Super Rare,,
Wooden crate,Predator icon.png,Armytek Predator Pro v3 XHP35 HI Flashlight,Flashlight,0.1,Super Rare,,
Wooden crate,Peq.png,AN/PEQ-15 tactical device,Tactical combo device,0.04,Super Rare,,
Wooden crate,Klesch.png,2P Klesch flashlight + laser designator,Tactical combo device,0.07,Super Rare,,
Wooden crate,X400.png,X400 tactical flashlight,Tactical combo device,0.15,Super Rare,,
Wooden crate,Ls321.png,Holosun LS321 Tactical device,Tactical combo device,0.1,Super Rare,,
Wooden crate,2irs.png,2IRS Klesch flashlight + laser designator,Tactical combo device,0.03,Super Rare,,
Wooden crate,Gl21.png,Glock Tactical GL21 flashlight with laser,Tactical combo device,0.07,Super Rare,,
Wooden crate,Reapcupicon.png,REAP-IR scope eyecup,Auxiliary part,0.02,Super Rare,,
Wooden crate,Vulcan Eyecup Icon.png,Vulcan MG scope eyecup,Auxiliary part,0.02,Super Rare,,
Wooden crate,WF501BIcon.png,Ultrafire WF-501B Flashlight,Flashlight,0.1,Super Rare,,
Wooden crate,AS VAL icon.png,AS VAL,Assault Carbine,0.1,Super Rare,,
Wooden crate,VSS icon.png,Special Sniper Rifle VSS Vintorez,Designated marksman rifle,0.03,Super Rare,,
Wooden crate,PP-19-01 icon.png,Submachinegun 19-01 Vityaz-SN 9x19,Submachine Gun,0.08,Super Rare,,
Wooden crate,SV-98 icon.PNG,SV-98 bolt-action sniper rifle,Sniper Rifle,0.07,Super Rare,,
Wooden crate,SKS icon.png,Simonov Semi-Automatic Carbine SKS 7.62x39,Assault Carbine,0.12,Rare,,
Wooden crate,AK-103Icon.png,AK-103 7.62x39 assault rifle,Assault Rifle,0.07,Super Rare,,
Wooden crate,AK-104Icon.png,AK-104 7.62x39 assault rifle,Assault Rifle,0.05,Super Rare,,
Wooden crate,379,SVDS 7.62x54 Sniper rifle,Designated marksman rifle,0.03,Super Rare,,
Wooden crate,SpectreDR Icon.gif,ELCAN SpecterDR 1x/4x Scope,Assault Scope,0.05,Super Rare,,
Wooden crate,Bravo4icon.png,Sig BRAVO4 4X30 Scope,Assault Scope,0.02,Super Rare,,
Wooden crate,Okp-7icon.png,OKP-7 reflex sight,Reflex sight,0.08,Rare,,
Wooden crate,Xps3-2icon.png,Eotech XPS3-2 holographic sight,Reflex sight,0.04,Rare,,
Wooden crate,P1x42icon.png,"VOMZ Pilad P1X42 ""WEAVER"" reflex sight",Reflex sight,0.15,Super Rare,,
Wooden crate,Mrsicon.png,Walther MRS reflex sight,Reflex sight,0.04,Rare,,
Wooden crate,Pk-06icon.png,Belomo PK-06 reflex sight,Compact Reflex Sight,0.05,Super Rare,,
Wooden crate,6p20.png,Izhmash 5.45x39 AK-74 muzzlebrake & compensator (6P20 0-20),Flash hider,0.05,Common,,
Wooden crate,DTK-1.png,Zenit DTK-1 7.62x39 & 5.45x39 muzzlebrake & compensator for AK,Flash hider,0.1,Super Rare,,
Wooden crate,Kx3.png,Noveske KX3 5.56x45 flashhider,Flash hider,0.05,Super Rare,,
Wooden crate,WF501BIcon.png,Ultrafire WF-501B Flashlight,Flashlight,0.1,Super Rare,,
Wooden crate,BGV MK46 Icon.gif,Tango Down Stubby BGV-MK46K tactical grip,Foregrip,0.15,Super Rare,,
Wooden crate,Caars47.png,CAA RS47 foregrip for AK-compatible systems,Handguard,0.02,Super Rare,,
Wooden crate,B-11hg.png,B-11 AKS-74U Handguard,Handguard,0.1,Super Rare,,
Wooden crate,DD Ris2 Icon.gif,Daniel Defence RIS II 9.5 foregrip for AR-15-compatible systems (Flat Dark Earth),Handguard,0.01,Super Rare,,
Wooden crate,Mtu002s.png,SOK-12 aluminum handguard MTU002 Short Top,Handguard,0.03,Super Rare,,
Wooden crate,Bayonetknifeicon.png,ER Fulcrum Bayonet,Melee weapon,0.05,Super Rare,,
Wooden crate,45orangeakmagicon.png,6L18 45-round 5.45x39 magazine for AK-74 and compatible weapons,Magazine,0.1,Super Rare,,
Wooden crate,6l2030rndmagicon.png,6L20 30-round 5.45x39 magazine for AK-74 and compatible weapons,Magazine,0.12,Rare,,
Wooden crate,30rndakplastic.png,30-round 6L23 5.45x39 magazine for AK-74 and compatibles,Magazine,0.14,Rare,,
Wooden crate,6l26magicon.png,45-round 6L26 5.45x39 magazine for AK-74 and compatibles,Magazine,0.07,Rare,,
Wooden crate,6L31-60-mag icon.png,60-round 6L31 5.45x39 magazine for AK-74 and compatibles,Magazine,0.04,Super Rare,,
Wooden crate,Ak7410rndmag.png,10-round Saiga 545 5.45x39 magazine for AK-74 and compatibles,Magazine,0.17,Common,,
Wooden crate,Grachmag.png,MP-443 9x19 18-round magazine,Magazine,0.12,Rare,,
Wooden crate,P226mag.png,P226 magazine,Magazine,0.1,Rare,,
Wooden crate,Makarovdrumicon.png,PM/PPSH 9x18PM 84-round drum mag for PM,Magazine,0.01,Super Rare,,
Wooden crate,Makarovmag.png,"90-93 9x18PM Magazine, for 8 PM rounds",Magazine,0.2,Common,,
Wooden crate,Kedr20rndmag.png,Standard 9x18PM 20-round magazine for PP-91,Magazine,0.1,Common,,
Wooden crate,Saig12mag.png,Sb.5 5-round 12/76 magazine for SOK-12 and compatible weapons,Magazine,0.08,Common,,
Wooden crate,Stanag30rndicon.png,Colt AR-15 5.56x45 STANAG 30-round magazine,Magazine,0.13,Rare,,
Wooden crate,M420-round.png,PMAG GEN M3 20 5.56x45 STANAG 20-round magazine,Magazine,0.05,Common,,
Wooden crate,PMAG 40 Icon.gif,40-round PMAG GEN M3 40 5.56x45 STANAG magazine,Magazine,0.06,Super Rare,,
Wooden crate,PMAG30Window Icon.gif,PMAG GEN M3 W 30 5.56x45 STANAG 30-round magazine,Magazine,0.1,Rare,,
Wooden crate,Sv98mag.png,10-round polymer magazine 7.62x54R for SV-98,Magazine,0.04,Super Rare,,
Wooden crate,TT-105 magazine icon.png,TT-105 7.62x25 TT Magazine,Magazine,0.15,Common,,
Wooden crate,Vss10rnd.png,10-round 6L24 9x39 VSS magazine,Magazine,0.06,Super Rare,,
Wooden crate,Vss20rndicon.png,20-round 6L25 9x39 VSS magazine,Magazine,0.05,Super Rare,,
Wooden crate,EFT Army-Bandage Icon.png,Army bandage,Medical,0.2,Rare,,
Wooden crate,EFT IFAK Icon.png,IFAK personal tactical first aid kit,Medkit,0.1,Common,,
Wooden crate,EFT Car-first-aid-kit Icon.png,Car first aid kit,Medkit,0.07,Super Rare,,
Wooden crate,EFT Grizzly Icon.png,Grizzly First Aid Kit,Medkit,0.02,Super Rare,,
Wooden crate,AI-2 Icon.png,AI-2 medikit,Medkit,0.12,Common,,
Wooden crate,EFT Salewa-First-Aid-Kit Icon 2.png,Salewa FIRST AID KIT,Medkit,0.12,Rare,,
Wooden crate,B12.png,B-12 Mount,Mount,0.16,Super Rare,,
Wooden crate,B18.png,B-18 Mount,Mount,0.1,Super Rare,,
Wooden crate,043-02.png,Pilad 043-02 Mount,Mount,0.1,Super Rare,,
Wooden crate,B8.png,B-8 mount,Mount,0.15,Rare,,
Wooden crate,Kedrris.png,Rotor 43 RIS mount for PP Kedr,Mount,10,Super Rare,,
Wooden crate,Gk02.png,GK-02 Muzzle Brake,Comb. Muzzle device,0.15,Super Rare,,
Wooden crate,Psoicon.png,Zenit-Belomo PSO 1M2-1 4x24 scope,Scope,0.03,Rare,,
Wooden crate,Yarygin MP-443 Grach icon.png,Yarygin MP-443 Grach 9x19 pistol,Pistol,0.05,Rare,,
Wooden crate,PM icon.png,PM 9x18PM pistol,Pistol,0.15,Common,,
Wooden crate,P226R icon.png,P226R 9x19 pistol,Pistol,0.05,Super Rare,,
Wooden crate,Rk-3.png,Zenit RK-3 AK pistol grip,Pistol Grip,0.05,Super Rare,,
Wooden crate,B-33.png,Zenit B-33 dust cover for AK-74,Dust cover,0.03,Rare,,
Wooden crate,NT4 Icon.gif,KAC QDSS NT-4 FDE 5.56x45 silencer,Suppressor,0.08,Super Rare,,
Wooden crate,Baskakstockicon.png,Armacon Baskak stock,Stock,0.1,Super Rare,,
Wooden crate,Ls321.png,Holosun LS321 Tactical device,Comb. Tactical device,0.1,Super Rare,,
Wooden crate,Peq.png,AN/PEQ-15 tactical device,Comb. Tactical device,0.04,Super Rare,,
Wooden crate,X400.png,X400 tactical flashlight,Comb. Tactical device,0.15,Super Rare,,
Wooden crate,Klesch.png,2P Klesch flashlight + laser designator,Comb. Tactical device,0.07,Super Rare,,
Wooden crate,F-1 grenade icon.png,F-1 Hand grenade,Grenade,0.05,Super Rare,,
Wooden crate,RGD-5 grenade icon.png,RGD-5 hand grenade,Grenade,0.05,Rare,,
Weapon box (4x4),,Simonov Semi-Automatic Carbine SKS 7.62x39,Assault Carbine,,Rare,,
Weapon box (4x4),,Simonov Semi-Automatic Carbine SKS 7.62x39 Hunting Rifle Version,Assault Carbine,,Rare,,
Weapon box (4x4),,Vepr Hunter/VPO-101 7.62x51 carbine,Assault Carbine,,Rare,,
Weapon box (4x4),,AS VAL,Assault Carbine,,Super Rare,,
Weapon box (4x4),,Colt M4A1 5.56x45 Assault Rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,AK-74N 5.45x39 assault rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,Kalashnikov AKS-74U 5.45x39,Assault Rifle,,Rare,,
Weapon box (4x4),,Kalashnikov AKS-74UN 5.45x39,Assault Rifle,,Rare,,
Weapon box (4x4),,Kalashnikov AKS-74UB 5.45x39,Assault Rifle,,Rare,,
Weapon box (4x4),,AKM 7.62x39 assault rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,Vepr KM / VPO-136 7.62x39 carbine,Assault Rifle,,Rare,,
Weapon box (4x4),,Vepr AKM / VPO-209 366TKM carbine,Assault Rifle,,Rare,,
Weapon box (4x4),,AKMS 7.62x39 assault rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,AKS-74N 5.45x39 assault rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,AKMSN 7.62x39 assault rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,AK-74M 5.45x39 assault rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,AK-103 7.62x39 assault rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,AK-104 7.62x39 assault rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,AK-105 5.45x39 assault rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,AKS-74 5.45x39 assault rifle,Assault Rifle,,Rare,,
Weapon box (4x4),,ADAR 2-15 .223 Carbine,Assault Rifle,,Rare,,
Weapon box (4x4),,AKMN 7.62x39 assault rifle,Assault Rifle,,Super Rare,,
Weapon box (4x4),,DS Arms SA-58 7.62x51,Assault Rifle,,Super Rare,,
Weapon box (4x4),,HK 416A5 5.56x45 Assault Rifle,Assault Rifle,,Super Rare,,
Weapon box (4x4),,DT MDR 5.56x45 Assault Rifle,Assault Rifle,,Super Rare,,
Weapon box (4x4),,Lone Star TX-15 DML Rifle,Assault Rifle,,Super Rare,,
Weapon box (4x4),,Monstrum Compact prism scope 2x32,Assault Scope,,Rare,,
Weapon box (4x4),,ELCAN SpecterDR 1x/4x Scope,Assault Scope,,Super Rare,,
Weapon box (4x4),,Sig BRAVO4 4X30 Scope,Assault Scope,,Super Rare,,
Weapon box (4x4),,Trijicon ACOG 3.5x35 scope,Assault Scope,,Super Rare,,
Weapon box (4x4),,Trijicon ACOG TA01NSN 4x32 scope TAN,Assault Scope,,Super Rare,,
Weapon box (4x4),,Cobra Family Sights Shade,Auxiliary Mod,,Rare,,
Weapon box (4x4),,REAP-IR scope eyecup,Auxiliary Mod,,Super Rare,,
Weapon box (4x4),,Vulcan MG scope eyecup,Auxiliary Mod,,Super Rare,,
Weapon box (4x4),,Basic barrel for Glock 17 9x19,Barrel,,Rare,,
Weapon box (4x4),,508mm barrel for M870 12ga with a fixed sight,Barrel,,Rare,,
Weapon box (4x4),,370mm barrel for AR-15 and compatible 5.56x45,Barrel,,Super Rare,,
Weapon box (4x4),,Homespun 121mm 7.62x25 TT barrel with threading,Barrel,,Super Rare,,
Weapon box (4x4),,Threaded barrel for P226 9x19,Barrel,,Super Rare,,
Weapon box (4x4),,500mm .308 barrel for DVL-10,Barrel,,Super Rare,,
Weapon box (4x4),,203 mm 9x19 barrel for MPX,Barrel,,Super Rare,,
Weapon box (4x4),,165 mm 9x19 barrel for MPX-SD,Barrel,,Super Rare,,
Weapon box (4x4),,"18"" barrel for a AR-10 and compatible 7.62x51 NATO",Barrel,,Super Rare,,
Weapon box (4x4),,Threaded barrel for Glock 9x19 manufactured by Salient Arms,Barrel,,Super Rare,,
Weapon box (4x4),,Barrel with compensator for Glock 17 9x19,Barrel,,Super Rare,,
Weapon box (4x4),,355mm barrel for M870 12ga,Barrel,,Super Rare,,
Weapon box (4x4),,"11"" barrel for SA-58 7.62x51",Barrel,,Super Rare,,
Weapon box (4x4),,"16"" barrel for SA-58 7.62x51",Barrel,,Super Rare,,
Weapon box (4x4),,"11"" barrel for 416A5 and compatible 5.56x45",Barrel,,Super Rare,,
Weapon box (4x4),,Sawn off 220mm Mosin barrel,Barrel,,Super Rare,,
Weapon box (4x4),,"26"" barrel for a Remington M700 7.62x51 NATO",Barrel,,Super Rare,,
Weapon box (4x4),,Walther MRS reflex sight,Collimator,,Rare,,
Weapon box (4x4),,OKP-7 reflex sight,Collimator,,Rare,,
Weapon box (4x4),,Eotech XPS3-2 holographic sight,Collimator,,Rare,,
Weapon box (4x4),,Cobra EKP-8-18 reflex sight,Collimator,,Rare,,
Weapon box (4x4),,Cobra EKP-8-02 reflex sight,Collimator,,Rare,,
Weapon box (4x4),,Holosun HS401G5 reflex sight,Collimator,,Rare,,
Weapon box (4x4),,Eotech 553 holographic sight,Collimator,,Super Rare,,
Weapon box (4x4),,Eotech XPS3-0 holographic sight,Collimator,,Super Rare,,
Weapon box (4x4),,"VOMZ Pilad P1X42 ""WEAVER"" reflex sight",Collimator,,Super Rare,,
Weapon box (4x4),,Vortex Razor AMG UH-1 holographic sight,Collimator,,Super Rare,,
Weapon box (4x4),,Aimpoint COMP M4 reflex sight,Collimator,,Super Rare,,
Weapon box (4x4),,Belomo PK-06 reflex sight,Compact Collimator,,Super Rare,,
Weapon box (4x4),,Trijicon RMR,Compact Collimator,,Super Rare,,
Weapon box (4x4),,Working LCD,Electronics,,Rare,,
Weapon box (4x4),,Broken LCD,Electronics,,Rare,,
Weapon box (4x4),,VPX Flash Storage Module,Electronics,,Super Rare,,
Weapon box (4x4),,UHF RFID Reader,Electronics,,Super Rare,,
Weapon box (4x4),,Virtex programmable processor,Electronics,,Super Rare,,
Weapon box (4x4),,Military COFDM wireless Signal Transmitter,Electronics,,Super Rare,,
Weapon box (4x4),,Izhmash 5.45x39 AK-74 muzzlebrake & compensator (6P20 0-20),Flash Hider,,Common,,
Weapon box (4x4),,Izhmash 5.45x39 muzzle break for AKS-74U (6P26 0-20),Flash Hider,,Common,,
Weapon box (4x4),,Colt USGI A2 5.56x45 Flashhider for AR-15,Flash Hider,,Rare,,
Weapon box (4x4),,Izhmash 7.62x39 AKM muzzlebrake & compensator (6P1 0-14),Flash Hider,,Rare,,
Weapon box (4x4),,Molot 7.62x39 Vepr KM / VPO-136 muzzlebrake & compensator,Flash Hider,,Rare,,
Weapon box (4x4),,Izhmash 7.62x39 flash hider for AKML system,Flash Hider,,Rare,,
Weapon box (4x4),,ADAR 2-15.56x45 Flashhider,Flash Hider,,Rare,,
Weapon box (4x4),,Surefire WarComp 5.56x45 Flashhider for AR-15,Flash Hider,,Rare,,
Weapon box (4x4),,Lantac Drakon 7.62x39 muzzlebrake & compensator for AK,Flash Hider,,Rare,,
Weapon box (4x4),,SRVV 5.45x39 AK-74 muzzlebrake,Flash Hider,,Rare,,
Weapon box (4x4),,SRVV 7.62x39 AK muzzlebrake & compensator,Flash Hider,,Rare,,
Weapon box (4x4),,Zenit DTK-1 7.62x39 & 5.45x39 muzzlebrake & compensator for AK,Flash Hider,,Super Rare,,
Weapon box (4x4),,Noveske KX3 5.56x45 flashhider,Flash Hider,,Super Rare,,
Weapon box (4x4),,DVL-10 M2 muzzle break,Flash Hider,,Super Rare,,
Weapon box (4x4),,DVL-10 muzzle device,Flash Hider,,Super Rare,,
Weapon box (4x4),,PWS CQB 5.56 x 45 Muzzle brake,Flash Hider,,Super Rare,,
Weapon box (4x4),,PWS CQB 74 5.45x39 Muzzle brake,Flash Hider,,Super Rare,,
Weapon box (4x4),,Decelerator 3 Port 9x19 Compensator,Flash Hider,,Super Rare,,
Weapon box (4x4),,Lone Wolf Compensator 9 9x19,Flash Hider,,Super Rare,,
Weapon box (4x4),,National Match 7.62x51 muzzlebrake & compensator for M1A,Flash Hider,,Super Rare,,
Weapon box (4x4),,Texas Precision Products muzzlebrake for Mosin rifle,Flash Hider,,Super Rare,,
Weapon box (4x4),,Ultrafire WF-501B Flashlight,Flashlight,,Super Rare,,
Weapon box (4x4),,Armytek Predator Pro v3 XHP35 HI Flashlight,Flashlight,,Super Rare,,
Weapon box (4x4),,Magpul AFG grip black,Foregrip,,Rare,,
Weapon box (4x4),,Magpul AFG grip FDE,Foregrip,,Rare,,
Weapon box (4x4),,Magpul AFG grip FG,Foregrip,,Rare,,
Weapon box (4x4),,Magpul AFG grip OD,Foregrip,,Rare,,
Weapon box (4x4),,Magpul RVG grip black,Foregrip,,Rare,,
Weapon box (4x4),,Zenit RK-0 Foregrip,Foregrip,,Rare,,
Weapon box (4x4),,Zenit RK-4 Foregrip,Foregrip,,Rare,,
Weapon box (4x4),,BCM MOD.3 Tactical grip,Foregrip,,Rare,,
Weapon box (4x4),,KAC Vertical pistol grip,Foregrip,,Rare,,
Weapon box (4x4),,Tango Down Stubby BGV-MK46K tactical grip,Foregrip,,Super Rare,,
Weapon box (4x4),,Tango Down Stubby BGV-MK46K tactical grip FDE,Foregrip,,Super Rare,,
Weapon box (4x4),,Tango Down Stubby BGV-MK46K tactical grip FG,Foregrip,,Super Rare,,
Weapon box (4x4),,Viking Tactical UVG Tactical grip,Foregrip,,Super Rare,,
Weapon box (4x4),,Hera Arms CQR tactical grip,Foregrip,,Super Rare,,
Weapon box (4x4),,VS-24 white handguard with a VS-33c gas block combo for AK,Gasblock,,Super Rare,,
Weapon box (4x4),,Wooden AK-74 handguard (6P20 Sb.6),Handguard,,Common,,
Weapon box (4x4),,Wooden AK-74 handguard (6P1 Sb.6-1),Handguard,,Common,,
Weapon box (4x4),,Polymer AK-74 foregrip (6P20 Sb.9),Handguard,,Rare,,
Weapon box (4x4),,MP5 Wide Tropical Polymer handguard,Handguard,,Rare,,
Weapon box (4x4),,MP5SD Polymer handguard,Handguard,,Rare,,
Weapon box (4x4),,Wooden AKM / VPO-209 handguard,Handguard,,Rare,,
Weapon box (4x4),,Aim sport Universal keymod foregrip for FAL,Handguard,,Rare,,
Weapon box (4x4),,Midwest 6.5 inch M-LOK foregrip for MPX,Handguard,,Rare,,
Weapon box (4x4),,Magpul MOE SL carbine length M-LOK foregrip for AR15,Handguard,,Rare,,
Weapon box (4x4),,Daniel Defence FDE RIS II FSP 9.5 foregrip for AR-15-compatible systems,Handguard,,Rare,,
Weapon box (4x4),,Polymer AK-100 series foregrip,Handguard,,Rare,,
Weapon box (4x4),,TDI AKM-L handguard for AK,Handguard,,Rare,,
Weapon box (4x4),,TDI AKM-L handguard for AK Anodized Bronze,Handguard,,Rare,,
Weapon box (4x4),,Knight's Armament KAC RIS handguard for AR-15 and compatibles,Handguard,,Super Rare,,
Weapon box (4x4),,Custom plastic MP-133 forestock with mounts,Handguard,,Super Rare,,
Weapon box (4x4),,Daniel Defence RIS II 9.5 foregrip for AR-15-compatible systems (Flat Dark Earth),Handguard,,Super Rare,,
Weapon box (4x4),,CAA RS47 foregrip for AK-compatible systems,Handguard,,Super Rare,,
Weapon box (4x4),,Izhmekh MP-153 Polymer stock,Handguard,,Super Rare,,
Weapon box (4x4),,Magpul MOE AK HAND GUARD (Black) for AK,Handguard,,Super Rare,,
Weapon box (4x4),,Magpul MOE AK HAND GUARD (Plum) for AK,Handguard,,Super Rare,,
Weapon box (4x4),,B-11 AKS-74U Handguard,Handguard,,Super Rare,,
Weapon box (4x4),,SOK-12 aluminum handguard MTU002 Short Top,Handguard,,Super Rare,,
Weapon box (4x4),,Daniel Defence RIS II 9.5 foregrip for AR-15-compatible systems (Black),Handguard,,Super Rare,,
Weapon box (4x4),,Handguard War Sport LVOA-S blk. for use with AR-15 and compatible,Handguard,,Super Rare,,
Weapon box (4x4),,Handguard War Sport LVOA-C blk. for use with AR-15 and compatible,Handguard,,Super Rare,,
Weapon box (4x4),,Krebs Custom UFM Keymod System handguard for AKM,Handguard,,Super Rare,,
Weapon box (4x4),,Magpul MOE M870 forestock,Handguard,,Super Rare,,
Weapon box (4x4),,MP5 TL-99 Aluminum handguard,Handguard,,Super Rare,,
Weapon box (4x4),,XRSU47SU Tactical Handguard for AKS-74U,Handguard,,Super Rare,,
Weapon box (4x4),,Strike industries TRAX 1 foregrip,Handguard,,Super Rare,,
Weapon box (4x4),,Hexagon handguard for AK(anodized red),Handguard,,Super Rare,,
Weapon box (4x4),,Midwest 10.5 inch M-LOK foregrip for MPX,Handguard,,Super Rare,,
Weapon box (4x4),,"Midwest 9"" M-LOK foregrip for 416A5",Handguard,,Super Rare,,
Weapon box (4x4),,"SAI 10"" QD Rail foregrip for AR15",Handguard,,Super Rare,,
Weapon box (4x4),,Magpul Zhukov-U HAND GUARD (Black) for AK,Handguard,,Super Rare,,
Weapon box (4x4),,Noveske SWS N6 Split handguard for AR-10-compatible systems,Handguard,,Super Rare,,
Weapon box (4x4),,Wooden CAF WASR 10-63 handguard,Handguard,,Super Rare,,
Weapon box (4x4),,TDI AKM-L handguard for AK Anodized Red,Handguard,,Super Rare,,
Weapon box (4x4),,Sig Sauer Standard Frontsight,Iron Sight,,Rare,,
Weapon box (4x4),,Glock Rear Sight,Iron Sight,,Rare,,
Weapon box (4x4),,AKMP system front sight device,Iron Sight,,Super Rare,,
Weapon box (4x4),,Dead Ringer Snake Eye Glock front sight,Iron Sight,,Super Rare,,
Weapon box (4x4),,Truglo TFX Glock front sight,Iron Sight,,Super Rare,,
Weapon box (4x4),,Truglo TFX Glock rear sight,Iron Sight,,Super Rare,,
